namespace,image,cve
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2017-16544
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2017-15873
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2017-8105
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2017-8287
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2016-10244
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2017-3731
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2018-0732
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2016-7055
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2017-3732
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2017-3735
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2017-3736
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2017-3737
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2017-3738
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2018-0733
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2018-0734
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2018-0737
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2018-0739
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2018-5407
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2017-3731
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2018-0732
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2016-7055
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2017-3732
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2017-3735
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2017-3736
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2017-3737
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2017-3738
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2018-0733
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2018-0734
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2018-0737
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2018-0739
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2018-5407
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2017-10790
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2017-6891
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2018-6003
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2017-15650
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2016-9841
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2016-9843
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2016-9840
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2016-9842
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2017-5929
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2021-42550
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2017-15095
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2017-7525
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2017-17485
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2017-15095
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2017-7525
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2018-11307
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2018-14718
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2018-14719
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2018-14720
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2018-14721
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2018-19360
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2018-19361
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2018-19362
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2018-7489
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2017-7525
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2019-14379
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2019-14540
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2019-14892
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2019-14893
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2019-16335
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2019-16942
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2019-16943
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2019-17267
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2019-17531
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2019-20330
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2020-8840
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2020-9546
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2020-9547
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2020-9548
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2018-12022
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2018-12023
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2018-5968
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2017-7525
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2019-12086
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2019-14439
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2020-10650
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2020-10969
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2020-35490
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2020-35491
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2020-36518
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2022-42003
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2022-42004
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2018-1000873
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2019-12384
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2019-12814
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2017-5648
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2017-5651
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2018-8014
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2020-1745
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2020-1938
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2017-12617
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2017-12615
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2017-5650
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2017-5664
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2017-7675
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2018-1336
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2018-8034
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2019-0199
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2019-0232
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2019-10072
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2019-0199
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2019-12418
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2019-17563
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2020-11996
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2020-13934
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2020-13935
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2020-17527
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2020-9484
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2021-25122
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2021-25329
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2020-9484
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2021-30639
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2021-41079
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2022-25762
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2022-42252
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2018-11784
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2018-1304
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2018-1305
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2018-8037
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2019-0221
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2020-13943
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2020-1935
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2021-24122
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2021-30640
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2021-33037
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2023-28708
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2021-43980
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2020-13935
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2021-24122
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2021-43980
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2020-15522
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2017-7536
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2020-10693
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2017-8046
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2022-27772
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2018-1196
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2023-20883
